2021-09-24 09:06:54.3525||INFO|IdentityServer4.Startup|Starting IdentityServer4 version 4.1.0+5a4433f83e8c6fca7d8979141fa5a92684ad56f6 |url: |action: 
2021-09-24 09:06:56.7041||INFO|IdentityServer4.Startup|Using explicitly configured authentication scheme Identity.Application for IdentityServer |url: |action: 
2021-09-24 09:06:57.3326||INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:41111 |url: |action: 
2021-09-24 09:06:57.3326||INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:41112 |url: |action: 
2021-09-24 09:06:57.3381||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-09-24 09:06:57.3381||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-09-24 09:06:57.3381||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Vypr\Vypr\Vypr\Server |url: |action: 
2021-09-24 09:07:07.2843||INFO|IdentityServer4.Hosting.IdentityServerMiddleware|Invoking IdentityServer endpoint: IdentityServer4.Endpoints.DiscoveryEndpoint for /.well-known/openid-configuration |url: https://localhost/.well-known/openid-configuration|action: 
2021-09-24 09:07:07.7106||INFO|IdentityServer4.Hosting.IdentityServerMiddleware|Invoking IdentityServer endpoint: IdentityServer4.Endpoints.AuthorizeEndpoint for /connect/authorize |url: https://localhost/connect/authorize|action: 
2021-09-24 09:07:11.3050||INFO|IdentityServer4.Events.DefaultEventService|{"ClientId":"Vypr.Client", "ClientName":"Vypr.Client", "RedirectUri":"https:\/\/localhost:41111\/authentication\/login-callback", "Endpoint":"Authorize", "SubjectId":"1", "Scopes":"Vypr.ServerAPI openid profile", "GrantType":"authorization_code", "Tokens":[{"TokenType":"code", "TokenValue":"****1905"}], "Category":"Token", "Name":"Token Issued Success", "EventType":"Success", "Id":2000, "ActivityId":"0HMBV693RKQE8:00000013", "TimeStamp":"2021-09-24T08:07:11Z", "ProcessId":21284, "LocalIpAddress":"::1:41111", "RemoteIpAddress":"::1"} |url: https://localhost/connect/authorize|action: 
2021-09-24 09:07:11.7631||INFO|IdentityServer4.Hosting.IdentityServerMiddleware|Invoking IdentityServer endpoint: IdentityServer4.Endpoints.TokenEndpoint for /connect/token |url: https://localhost/connect/token|action: 
2021-09-24 09:07:12.0419||INFO|IdentityServer4.Events.DefaultEventService|{"ClientId":"Vypr.Client", "AuthenticationMethod":"NoSecret", "Category":"Authentication", "Name":"Client Authentication Success", "EventType":"Success", "Id":1010, "ActivityId":"0HMBV693RKQE8:00000019", "TimeStamp":"2021-09-24T08:07:12Z", "ProcessId":21284, "LocalIpAddress":"::1:41111", "RemoteIpAddress":"::1"} |url: https://localhost/connect/token|action: 
2021-09-24 09:07:13.5220||INFO|IdentityServer4.Validation.TokenRequestValidator|Token request validation success, {"ClientId":"Vypr.Client", "ClientName":"Vypr.Client", "GrantType":"authorization_code", "AuthorizationCode":"3C7D16706AA5B3170E66F1361BF20DD155FBD46DD8E1E28C037385FF2E831905", "Raw":{"client_id":"Vypr.Client","code":"3C7D16706AA5B3170E66F1361BF20DD155FBD46DD8E1E28C037385FF2E831905","redirect_uri":"https:\/\/localhost:41111\/authentication\/login-callback","code_verifier":"d38c83ed10d94dc387e7298cabbd5ad759c85e0d3965483cacefab038aee2563bea6c3eb72e14e4dac2d885768269d79","grant_type":"authorization_code"}} |url: https://localhost/connect/token|action: 
2021-09-24 09:07:14.0976||INFO|IdentityServer4.Events.DefaultEventService|{"ClientId":"Vypr.Client", "ClientName":"Vypr.Client", "Endpoint":"Token", "SubjectId":"1", "Scopes":"Vypr.ServerAPI openid profile", "GrantType":"authorization_code", "Tokens":[{"TokenType":"id_token", "TokenValue":"****nUCA"},{"TokenType":"access_token", "TokenValue":"****D_vQ"}], "Category":"Token", "Name":"Token Issued Success", "EventType":"Success", "Id":2000, "ActivityId":"0HMBV693RKQE8:00000019", "TimeStamp":"2021-09-24T08:07:14Z", "ProcessId":21284, "LocalIpAddress":"::1:41111", "RemoteIpAddress":"::1"} |url: https://localhost/connect/token|action: 
2021-09-24 09:07:14.1908||INFO|IdentityServer4.Hosting.IdentityServerMiddleware|Invoking IdentityServer endpoint: IdentityServer4.Endpoints.UserInfoEndpoint for /connect/userinfo |url: https://localhost/connect/userinfo|action: 
2021-09-24 09:07:14.3447||INFO|IdentityServer4.ResponseHandling.UserInfoResponseGenerator|Profile service returned the following claim types: sub preferred_username name |url: https://localhost/connect/userinfo|action: 
2021-09-24 09:07:14.4570||INFO|IdentityServer4.Hosting.IdentityServerMiddleware|Invoking IdentityServer endpoint: IdentityServer4.Endpoints.CheckSessionEndpoint for /connect/checksession |url: https://localhost/connect/checksession|action: 
2021-09-24 09:07:21.8779||INFO|IdentityServer4.Hosting.IdentityServerMiddleware|Invoking IdentityServer endpoint: IdentityServer4.Endpoints.DiscoveryEndpoint for /.well-known/openid-configuration |url: https://localhost/.well-known/openid-configuration|action: 
